ablatives	ablative:ablative_A s:+PL
lemma	lemma:lemma
quinean	quine:quine an:an
posted	post:post ed:ed
summed	sum:sum med:med
dilemma	dilemma:dilemma
pipeline	pipe:pipe line:line
give	give:give
power	power:power
footwear	foot:foot wear:wear
man	man:man
tokenization	token:token ization:ization
folder	fold:fold er:er
always	always:always
quits	quit:quit s:s
forearm	fore:fore arm:arm
summer	summer:summer
lexicographer	lexico:lexico graph:graph er:er
ongoing	on:on go:go ing:ing
dress	dress:dress
forgive	forgive:forgive
foreign	foreign:foreign
arm	arm:arm
kidding	kidd:kidd ing:ing
run	run:run
recurrent	re:re current:current
title	title:title
play	play:play
kids	kid:kid s:s
regressor	re:re gress:gress or:or
sick	sick:sick
ill	ill:ill
surname	sur:sur name:name
long	long:long
current	current:current
short	short:short
wife	wife:wife
recallment	re:re call:call ment:ment
war	war:war
lasting	last:last ing:ing
kid	kid:kid
cold	cold:cold
colding	cold:cold ing:ing
called	call:call ed:ed
mean	mean:mean
calling	call:call ing:ing
rerun	re:re run:run
seaside	sea:sea side:side
evaluating	e:e valu:valu at:at ing:ing
catechized	catech:catech iz:iz ed:ed
eyedrop	eye:eye drop:drop
policewoman	police:police woman:woman
nakedness	naked:naked ness:ness
gaslights	gas:gas light:light s:s
illumination	illuminat:illuminat ion:ion
chessman	chess:chess man:man
initiate	initi:initi ate:ate
freshers	fresh:fresh er:er s:s
ziggurats'	ziggurat:ziggurat s:s ':'
barracuda	barracuda:barracuda
swordfish	sword:sword fish:fish
masseuse	mass:mass euse:euse
liquors	liquor:liquor s:s
revolvers'	revolv:revolv er:er s:s ':'
charismatic	charismat:charismat ic:ic
discounts	dis:dis count:count s:s
dildos	dildo:dildo s:s
ratings	rating:rating s:s
pruners	prun:prun er:er s:s
greatest	great:great est:est
gazing	gaz:gaz ing:ing
woodwork	wood:wood work:work
excretion	excret:excret ion:ion
physiologists'	physi:physi olog:olog ist:ist s:s ':'
enslaves	en:en slave:slave s:s
seahorse	sea:sea horse:horse
inexorably	inexorab:inexorab ly:ly
inconspicuous	in:in conspicu:conspicu ous:ous
irrational	ir:ir ratio:ratio nal:nal
misconduct	mis:mis con:con duct:duct
impartiality	im:im partial:partial ity:ity
diminishing	di:di minish:minish ing:ing
fraudulent	fraud:fraud ulent:ulent
subterfuge	subter:subter fuge:fuge
indistinguishable	in:in dis:dis tinguish:tinguish able:able
disadvantageous	dis:dis advantage:advantage ous:ous
obscurity	obscur:obscur ity:ity
demoralization	de:de moraliz:moraliz ation:ation
retrogression	retro:retro gression:gression
reappearing	re:re appear:appear ing:ing
imposture	impos:impos ture:ture
injuriously	injurious:injurious ly:ly
manifestation	mani:mani fest:fest ation:ation
extermination	ex:ex termin:termin ation:ation
drawback	draw:draw back:back
undulation	und:und ulation:ulation
contemplate	con:con template:template
inaudible	in:in aud:aud ible:ible
disproportionate	dis:dis proportion:proportion ate:ate
honorable	honor:honor able:able
plausible	plaus:plaus ible:ible
utterances	utter:utter ance:ance s:s
familiarized	familiar:familiar iz:iz ed:ed
unprecedented	un:un precedent:precedent ed:ed
forgetfulness	forget:forget ful:ful ness:ness
approximation	approxim:approxim ation:ation
occasionally	occasion:occasion ally:ally
unquestionable	un:un question:question able:able
pig	pig:pig
tomatoes	tomato:tomato es:es
astonishing	astonish:astonish ing:ing
hum	hum:hum
potatoes	potato:potato es:es
song	song:song
potato	potato:potato
boat	boat:boat
educated	educat:educat ed:ed
creator	creat:creat or:or
rush	rush:rush
nerve	nerve:nerve
ink	ink:ink
pull	pull:pull
mellow	mellow:mellow
sidewalk	side:side walk:walk
divergent	diverg:diverg ent:ent
exclusive	exclus:exclus ive:ive
memorise	memor:memor ise:ise
suit	suit:suit
troubled	troubl:troubl ed:ed
numerous	numer:numer ous:ous
noise	noise:noise
rinse	rinse:rinse
pale	pale:pale
sleet	sleet:sleet
curve	curve:curve
knife	knife:knife
noiseless	noise:noise less:less
ceaseless	cease:cease less:less
sleeping	sleep:sleep ing:ing
happiness	happi:happi ness:ness
hotdogs	hot:hot dog:dog s:s
barking	bark:bark ing:ing
dreaming	dream:dream ing:ing
books	book:book s:s
disclose	dis:dis close:close
locked	lock:lock ed:ed
prejudges	pre:pre judge:judge s:s
graceful	grace:grace ful:ful
flowchart	flow:flow chart:chart
language	lan:lan guage:guage
dictatorial	dictator:dictator ial:ial
horses	horse:horse s:s
walked	walk:walk ed:ed
beers	beer:beer s:s
rationalist	rational:rational ist:ist
drumheads	drum:drum head:head s:s
blueprint	blue:blue print:print
pens	pen:pen s:s
drivers	driv:driv er:er s:s
disgraceful	dis:dis grace:grace ful:ful
expressway	express:express way:way
fearlessly	fear:fear less:less ly:ly
helplessness	help:help less:less ness:ness
formerly	former:former ly:ly
exchanging	ex:ex chang:chang ing:ing
majority	major:major ity:ity
historical	histor:histor ical:ical
loyalty	loyal:loyal ty:ty
possession	possess:possess ion:ion
meanwhile	mean:mean while:while
typewriter	type:type writ:writ er:er
dismissing	dis:dis miss:miss ing:ing
dangerous	danger:danger ous:ous
grateful	grate:grate ful:ful
occupation	occup:occup ation:ation
collection	collect:collect ion:ion
accountant	ac:ac count:count ant:ant
performer	perform:perform er:er
handwriting	hand:hand writ:writ ing:ing
interested	interest:interest ed:ed
knowledge	know:know ledge:ledge
sunglasses	sun:sun glass:glass es:es
himself	him:him self:self
everywhere	every:every where:where
bibliography	biblio:biblio graphy:graphy
accurate	ac:ac cur:cur ate:ate
imagination	imag:imag ination:ination
neighborhood	neighbor:neighbor hood:hood
independence	in:in dependen:dependen ce:ce
playthings	play:play thing:thing s:s
weatherman	weather:weather man:man
celebration	celebrat:celebrat ion:ion
biographical	bio:bio graph:graph ic:ic al:al
uptight	up:up tight:tight
tighten	tight:tight en:en
stapler	stapl:stapl er:er
congregated	con:con gregate:gregate d:d
underground	under:under ground:ground
unknow	un:un know:know
undesiderable	un:un desider:desider able:able
meaningful	meaning:meaning ful:ful
enforcement	en:en force:force ment:ment
encoded	en:en code:code d:d
tightness	tight:tight ness:ness
preprocessing	pre:pre process:process ing:ing
impraticable	im:im pratic:pratic able:able
staying	stay:stay ing:ing
waiting	wait:wait ing:ing
refactoring	re:re factor:factor ing:ing
assessment	assess:assess ment:ment
undeniable	un:un deni:deni able:able
deliverance	deliver:deliver ance:ance
unconstitutional	un:un constitution:constitution al:al
assertion	asser:asser tion:tion
colorful	color:color ful:ful
quickly	quick:quick ly:ly
bloodline	blood:blood line:line
unfashionable	un:un fashion:fashion able:able
unreasonable	un:un reason:reason able:able
unpopular	un:un popular:popular
running	runn:runn ing:ing
boosted	boost:boost ed:ed
redeployment	re:re deploy:deploy ment:ment
overvalued	over:over valu:valu ed:ed
antihero	anti:anti hero:hero
landowner	land:land own:own er:er
optimum	optim:optim um:um
drained	drain:drain ed:ed
golden	gold:gold en:en
specification	specif:specif ic:ic ation:ation
zooming	zoom:zoom ing:ing
youngster	young:young ster:ster
foolproof	fool:fool proof:proof
orange	orange:orange
scandalize	scandal:scandal ize:ize
bookbinder	book:book bind:bind er:er
topographical	topo:topo graph:graph ic:ic al:al
headphones	head:head phone:phone s:s
queenside	queen:queen side:side
goodness	good:good ness:ness
unattainable	un:un attain:attain able:able
beach	beach:beach
stuffing	stuff:stuff ing:ing
unannounced	un:un announc:announc ed:ed
core	core:core
unborn	un:un born:born
wordplay	word:word play:play
irrefutable	ir:ir refut:refut able:able
charge	charge:charge
scalding	scald:scald ing:ing
anybody	any:any body:body
white	white:white
bakers	bak:bak er:er s:s
undertaking	under:under tak:tak ing:ing
presentiments	pre:pre sentiment:sentiment s:s
overcooked	over:over cook:cook ed:ed
underrepresented	under:under represent:represent ed:ed
miscalculates	mis:mis calculate:calculate s:s
xenotransplantations	xeno:xeno trans:trans plantation:plantation s:s
wearing	wear:wear ing:ing
abdicated	abdicate:abdicate d:d
unstrapped	un:un strapp:strapp ed:ed
wednesdays	wednesday:wednesday s:s
wounded	wound:wound ed:ed
whitewashing	white:white wash:wash ing:ing
zeroing	zero:zero ing:ing
zapping	zap:zap ping:ping
yearlings	year:year ling:ling s:s
overcrowded	over:over crowd:crowd ed:ed
zigzagged	zig:zig zag:zag ged:ged
underwriter	under:under write:write r:r
abjures	abjure:abjure s:s
overdevelop	over:over develop:develop
zoology	zoo:zoo logy:logy
wined	win:win ed:ed
welcoming	welcom:welcom ing:ing
understatement	under:under state:state ment:ment
unpredictabilities	un:un predict:predict abilit:abilit ies:ies
withholded	with:with hold:hold ed:ed
abjected	abject:abject ed:ed
yanking	yank:yank ing:ing
outstretch	out:out stretch:stretch
undervalued	under:under value:value d:d
interchangeabilities	inter:inter change:change abilit:abilit ies:ies
roadway	road:road way:way
academic	academ:academ ic:ic
smaller	small:small er:er
rainy	rain:rain y:y
unconventional	un:un convention:convention al:al
waterfall	water:water fall:fall
scientific	scient:scient ific:ific
prehistoric	pre:pre histor:histor ic:ic
pony	pony:pony
friendly	friend:friend ly:ly
bidirection	bi:bi direct:direct ion:ion
musician	music:music ian:ian
pets	pet:pet s:s
election	elect:elect ion:ion
speaking	speak:speak ing:ing
peacefull	peace:peace full:full
guitarist	guitar:guitar ist:ist
sexy	sex:sex y:y
trainer	train:train er:er
doors	door:door s:s
win	win:win
readable	read:read able:able
boyfriends	boy:boy friend:friend s:s
sons	son:son s:s
sunrise	sun:sun rise:rise
lake	lake:lake
commander	command:command er:er
showman	show:show man:man
housewife	house:house wife:wife
wind	wind:wind
promotional	promot:promot ion:ion al:al
neutron	neutr:neutr on:on
positron	posi:posi tron:tron
worshipping	wor:wor ship:ship ping:ping
pions	pi:pi on:on s:s
quark	quark:quark
cyclotron	cyclo:cyclo tron:tron
papermaking	paper:paper mak:mak ing:ing
pyrotechnic	pyro:pyro techn:techn ic:ic
neutrino	neutr:neutr ino:ino
electron	electr:electr on:on
pikeman	pike:pike man:man
gluon	glu:glu on:on
piezoelectric	piezo:piezo electr:electr ic:ic
hydrodynamics	hydro:hydro dynam:dynam ics:ics
muon	mu:mu on:on
swordman	sword:sword man:man
exoplanet	exo:exo planet:planet
orbital	orbit:orbit al:al
nuclear	nucle:nucle ar:ar
slavery	slav:slav ery:ery
papyrus	papyrus:papyrus
cataphract	cata:cata phract:phract
chartaceous	charta:charta ceous:ceous
overwhelming	over:over whelm:whelm ing:ing
bowman	bow:bow man:man
antiproton	anti:anti prot:prot on:on
hadron	hadr:hadr on:on
proton	prot:prot on:on
charta	charta:charta
homepage	home:home page:page
nuthouse	nut:nut house:house
crucially	cruc:cruc ial:ial ly:ly
infallible	in:in fallible:fallible
typed	typ:typ ed:ed
watchdog	watch:watch dog:dog
vodka	vodka:vodka
unctuousness'	unctu:unctu ous:ous ness:ness ':'
autobiographically	auto:auto bio:bio graph:graph ic:ic ally:ally
alum	alum:alum
truncate	truncate:truncate
mouthwashes	mouth:mouth wash:wash es:es
cubic	cub:cub ic:ic
corns	corn:corn s:s
sees	see:see s:s
goods	good:good s:s
bookcase	book:book case:case
hag	hag:hag
marrows	marrow:marrow s:s
spectres	spectre:spectre s:s
apathetically	a:a path:path etic:etic ally:ally
cargo	cargo:cargo
dozed	doze:doze d:d
villain	villain:villain
impressed	im:im press:press ed:ed
silk	silk:silk
twirls	twirl:twirl s:s
accelerate	accelerate:accelerate
cause	cause:cause
wall	wall:wall
likeable	like:like able:able
desires	desire:desire s:s
succeeding	succeed:succeed ing:ing
recounts	re:re count:count s:s
poor	poor:poor
emphasis	emphasis:emphasis
hourly	hour:hour ly:ly
quickens	quick:quick en:en s:s
zoom	zoom:zoom
include	include:include
postscript	post:post script:script
sadly	sad:sad ly:ly
achieved	achiev:achiev ed:ed
calendar	calendar:calendar
bold	bold:bold
highest	high:high est:est
jaws	jaw:jaw s:s
importing	import:import ing:ing
request	request:request
invested	invest:invest ed:ed
undertakings	under:under tak:tak ing:ing s:s
nose	nose:nose
performance	perform:perform ance:ance
violent	violent:violent
these	these:these
priests	priest:priest s:s
several	several:several
tenderness	tend:tend er:er ness:ness
hardness	hard:hard ness:ness
impossibilities	im:im possib:possib ilit:ilit ies:ies
avoided	avoid:avoid ed:ed
price	price:price
regrouping	re:re group:group ing:ing
ladylike	lady:lady like:like
behead	be:be head:head
elements	element:element s:s
gentleman	gentle:gentle man:man
impossible	im:im possible:possible
inputs	in:in put:put s:s
components	component:component s:s
suddenly	sudden:sudden ly:ly
trial	tri:tri al:al
stupidity	stupid:stupid ity:ity
goodbye	good:good bye:bye
prepay	pre:pre pay:pay
retroactive	re:re tro:tro active:active
another	an:an other:other
classroom	class:class room:room
purposeful	purpose:purpose ful:ful
deforms	de:de form:form s:s
blindness	blind:blind ness:ness
redness	red:red ness:ness
certainly	certain:certain ly:ly
depose	de:de pose:pose
smarten	smart:smart en:en
unpresentable	un:un present:present able:able
befriended	be:be friend:friend ed:ed
repackage	re:re pack:pack age:age
taller	tall:tall er:er
calmly	calm:calm ly:ly
within	with:with in:in
